X	Z	roughness	bounce_model_number	mu_r	R_t	R_n	phi	v_half	trees_density	trees_dhp_mean	trees_dhp_std
0.0	1054.54	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
2.0	1051.82	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
4.0	1048.17	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
6.99	1044.54	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
11.99	1039.54	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
16.98	1033.32	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
24.97	1026.37	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
28.97	1023.38	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
34.96	1017.87	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
43.95	1011.49	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
49.94	1005.48	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
53.94	1001.77	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
58.93	998.44	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
59.93	998.24	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
62.93	995.07	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
64.93	991.98	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
66.93	989.9	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
69.92	988.18	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
77.91	982.84	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
81.91	978.61	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
87.9	970.34	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
89.9	968.29	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
92.9	966.96	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
95.89	963.67	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
97.89	957.81	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
100.89	943.42	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
101.89	940.97	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
105.88	935.4	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
110.88	930.17	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
112.87	926.95	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
114.87	921.03	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
116.87	913.61	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
117.87	911.58	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
122.86	908.12	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
128.86	903.09	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
132.85	898.25	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
134.85	893.84	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
137.85	885.88	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
138.85	883.93	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
141.84	876.21	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
143.84	873.46	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
145.84	869.31	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
147.84	866.33	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
150.83	863.51	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
155.83	857.68	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
157.82	855.72	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
161.82	850.52	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
169.81	841.92	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
176.8	832.26	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
183.8	818.99	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
186.79	810.69	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
188.79	805.97	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
193.78	796.18	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
198.78	787.95	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
201.78	782.09	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
205.77	775.81	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
212.76	766.84	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
218.76	757.28	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
223.75	748.34	0.2	0	0.05	0.9	0.35	0.0	0.0	/	/	/
226.75	745.01	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
229.74	743.08	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
232.74	740.58	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
238.73	736.58	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
241.73	733.91	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
245.73	731.17	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
252.72	725.52	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
256.71	722.72	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
260.71	719.37	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
262.71	718.25	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
272.7	710.75	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
283.68	702.92	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
289.68	698.41	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
296.67	693.93	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
301.66	690.48	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
305.66	687.18	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
312.65	681.99	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
325.64	672.91	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
334.63	666.15	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
338.62	663.34	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
348.61	656.79	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
354.61	652.08	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
366.59	644.47	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
368.59	642.6	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
374.58	639.16	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
376.58	637.45	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
384.57	632.77	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
389.57	629.27	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
393.56	627.61	0.1	0	0.5	0.85	0.25	0.0	0.0	200.0	30.0	10.0
397.56	625.06	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
404.55	621.45	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
406.55	620.7	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
410.54	617.68	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
419.53	615.55	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
421.53	614.56	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
424.53	611.93	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
428.52	609.3	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
432.52	608.41	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
434.52	607.1	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
438.51	605.48	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
448.5	600.38	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
451.5	599.44	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
460.49	598.16	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
464.48	595.22	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
467.48	592.53	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
479.47	590.82	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
480.47	589.79	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
485.46	588.17	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
491.46	583.65	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
507.45	576.56	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
513.45	575.39	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
516.45	575.23	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
524.45	570.31	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
526.45	570.03	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
531.45	567.79	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
540.44	565.85	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
542.44	562.8	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
545.44	562.33	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
547.44	561.02	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
554.44	559.87	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
559.44	558.26	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
566.43	556.35	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
578.43	553.55	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
580.43	553.32	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
583.43	550.57	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
592.43	550.04	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
599.42	549.44	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
601.42	548.14	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
604.42	547.63	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
605.42	545.19	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
609.42	543.78	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
611.42	542.27	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
622.42	539.15	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
626.41	538.47	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
628.41	537.69	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
642.41	534.41	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
654.41	531.76	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
666.4	530.02	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
669.4	528.35	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
673.4	527.75	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
675.4	526.84	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
685.4	525.8	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
690.39	525.86	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
695.39	523.27	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
701.39	521.6	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
706.39	521.39	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
709.39	519.04	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
712.39	518.64	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
723.38	516.0	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
733.38	513.88	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
754.37	509.96	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
757.37	509.23	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
765.37	508.06	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
768.37	506.62	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
771.37	506.29	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
781.36	506.06	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
783.36	504.98	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
834.06	502.29	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0
934.06	499.87	0.1	0	0.3	0.7	0.15	0.0	0.0	200.0	30.0	10.0